Type,Ratio,Sample Avg,Original Avg,Difference (%),Original Std Dev,Sample Std Dev,Original Min,Sample Min,Original Max,Sample Max
Body,Shoulder To Waist,1.6186542197455644,1.6208013131097212,0.13247110221284725,0.2605810977804291,0.286969108716683,0.9768591186272343,0.7825411209329025,1.979630201747709,2.199746054737357
Body,Upper To Forearm,1.4190882807517138,1.5151836190308499,6.34215794522654,0.6673292338944483,0.44409858134958774,0.6720132045134243,0.8528710528525307,3.1775089121080526,2.942269989465718
Body,Thigh To Calf,1.4520483914406526,1.6292904473485381,10.878481255219064,0.23206541218592178,0.22841847089590275,0.9663863283900658,0.9224264125817957,1.9999910799021139,2.2078612615934223
Body,Arm To Leg,0.8818241785015389,0.7858175597075986,12.217418357215669,0.22124998790844386,0.2697993241903723,0.4908002767358764,0.4625850319176229,1.4355452543246296,1.5936369462478455
Body,Waist To Leg,0.3689894326209542,0.4973206025444647,25.804515088842837,0.20377907610075746,0.26494877560734836,0.16290935556999062,0.12835287093452263,0.8389120050140993,1.892175505325022
Face,Interocular Ratio,0.778607964515686,0.6832091808319092,13.963334262371063,0.1760634481906891,0.07668223977088928,0.1865103542804718,0.3487752676010132,0.9704354405403137,0.8647934198379517
Face,Eye To Nose Ratio,0.5472271822556435,0.5499333851859286,0.49209649808224853,0.13416369199248424,0.08407157624651374,0.2814913276529697,0.4744180736976828,1.0143260726479904,1.1010532535752209
Face,Nose To Mouth Ratio,0.20945098996162415,0.26697397232055664,21.546287834644318,0.12840181589126587,0.036540091037750244,0.13438202440738678,0.16365164518356323,0.8280205726623535,0.35604795813560486
Face,Chin Length Ratio,0.5113385319709778,0.5002300143241882,2.220681868493557,0.1397412270307541,0.03956045210361481,0.05213278532028198,0.4476233720779419,0.839211106300354,0.7085643410682678
Face,Eyebrow Height Ratio,0.2716538499734669,0.3145180452487424,13.628532900672049,0.15350648480995802,0.08367445462056124,0.17194188384051173,0.21373273923929656,1.085295305675898,0.8951409140056155
Face,Intercanthal Ratio,0.31564199924468994,0.3464055061340332,8.880779147148132,0.33367687463760376,0.02563721127808094,0.12000865489244461,0.19810889661312103,2.236171007156372,0.37262043356895447
