Type,Ratio,Sample Avg,Original Avg,Difference (%),Original Std Dev,Sample Std Dev,Original Min,Sample Min,Original Max,Sample Max
Body,Shoulder To Waist,1.5904625950589228,1.6208013131097212,1.8718344935561237,0.2605810977804291,0.25864291461795275,0.9768591186272343,1.198353733844125,1.979630201747709,2.3876614931395053
Body,Upper To Forearm,1.5502223185859476,1.5151836190308499,2.31250517198103,0.6673292338944483,0.8818087340630514,0.6720132045134243,0.6653221912501336,3.1775089121080526,6.9703077380405585
Body,Thigh To Calf,1.589603498024071,1.6292904473485381,2.435842509790233,0.23206541218592178,0.32761692025959993,0.9663863283900658,0.6787384333751736,1.9999910799021139,2.233553470949325
Body,Arm To Leg,0.808498370639764,0.7858175597075986,2.8862692939319077,0.22124998790844386,0.2053086487796115,0.4908002767358764,0.40738653419045906,1.4355452543246296,1.28760250670453
Body,Waist To Leg,0.3947351905857099,0.4973206025444647,20.62762158532992,0.20377907610075746,0.17207032817221377,0.16290935556999062,0.15325601706141595,0.8389120050140993,1.0054906199606115
Face,Interocular Ratio,0.7433298230171204,0.6832091808319092,8.799741417169571,0.1760634481906891,0.057640232145786285,0.1865103542804718,0.542316198348999,0.9704354405403137,0.8672000765800476
Face,Eye To Nose Ratio,0.5246434281610305,0.5499333851859286,4.598730992908851,0.13416369199248424,0.04630789432589003,0.2814913276529697,0.3576451450816386,1.0143260726479904,0.6195926094545138
Face,Nose To Mouth Ratio,0.21807070076465607,0.26697397232055664,18.31761747598648,0.12840181589126587,0.04183728247880936,0.13438202440738678,0.15221956372261047,0.8280205726623535,0.3684096038341522
Face,Chin Length Ratio,0.4981439411640167,0.5002300143241882,0.41702277958393097,0.1397412270307541,0.04128566384315491,0.05213278532028198,0.44270437955856323,0.839211106300354,0.6549893617630005
Face,Eyebrow Height Ratio,0.270044493648775,0.3145180452487424,14.14022256331737,0.15350648480995802,0.02024695508648255,0.17194188384051173,0.23045360957296884,1.085295305675898,0.353859756984583
Face,Intercanthal Ratio,0.3053548038005829,0.3464055061340332,11.850476264953613,0.33367687463760376,0.02297797240316868,0.12000865489244461,0.21823833882808685,2.236171007156372,0.3424142599105835
