Type,Ratio,Sample Avg,Original Avg,Difference (%),Original Std Dev,Sample Std Dev,Original Min,Sample Min,Original Max,Sample Max
Body,Shoulder To Waist,1.57669115175788,1.6223645616856381,2.815237154853982,0.22201942305619388,0.19361110162874834,1.2132196771988821,1.0909663198477761,2.160179328676748,2.0101441562730535
Body,Upper To Forearm,1.1957526972143662,1.2907452619600703,7.359512953117685,0.4574417236979144,0.2462205684808082,0.5885498265475516,0.42017973449482426,2.7965091637877757,2.095303405960794
Body,Thigh To Calf,1.6136556227506254,1.8371719783679903,12.166327281777974,0.3055908236560191,0.2914417107015879,1.297694346812511,1.00227436760456,2.506713014183304,2.31997782558785
Body,Arm To Leg,0.7698020705100695,0.8201855834047058,6.142940562974445,0.2825321687976723,0.16103605918018557,0.3588857880778352,0.46970106354212027,1.4151088390012605,1.2574067753047202
Body,Waist To Leg,0.30749329227068345,0.5469258528331342,43.77788311197296,0.35590632263020683,0.1635124881775625,0.19322305720577532,0.17271924380087753,1.3105359972946315,1.00426690828373
Face,Interocular Ratio,0.7576541304588318,0.5975107550621033,26.801756024360657,0.18376269936561584,0.03810921311378479,0.3148564398288727,0.6556446552276611,0.8293657302856445,0.8063535690307617
Face,Eye To Nose Ratio,0.46553027403309943,0.4521478746053987,2.9597395408260905,0.06547352279547208,0.028444368092244824,0.3268785643184007,0.3913782295414049,0.5625704502665175,0.5477309326645458
Face,Nose To Mouth Ratio,0.17578573524951935,0.21641001105308533,18.771901726722717,0.05178792402148247,0.017878007143735886,0.14927777647972107,0.14740534126758575,0.31023433804512024,0.2333454042673111
Face,Chin Length Ratio,0.5680446028709412,0.5723889470100403,0.7589846383780241,0.049496378749608994,0.023731034249067307,0.50483638048172,0.5012356638908386,0.6699146032333374,0.6156613826751709
Face,Eyebrow Height Ratio,0.27660102217195254,0.25537173659422757,8.313091284434972,0.04913610239890785,0.011580182221993219,0.16741417725849417,0.24997505445331153,0.42445575284933923,0.30719249655420244
Face,Intercanthal Ratio,0.28282585740089417,0.23361237347126007,21.066300570964813,0.05603550374507904,0.012149427086114883,0.12968449294567108,0.2577625811100006,0.30811214447021484,0.31108540296554565
