Type,Ratio,Sample Avg,Original Avg,Difference (%),Original Std Dev,Sample Std Dev,Original Min,Sample Min,Original Max,Sample Max
Body,Shoulder To Waist,1.4909503265906665,1.6223645616856381,8.100166768832286,0.22201942305619388,0.18365963182346548,1.2132196771988821,1.1912410378375278,2.160179328676748,2.045778149357207
Face,Outer Canthal Distance,0.7245156168937683,0.5975107550621033,21.25566154718399,0.18376269936561584,0.05283079668879509,0.3148564398288727,0.5155877470970154,0.8293657302856445,0.8103885650634766
Face,Inner Canthal Ratio,0.27826231718063354,0.23361237347126007,19.112832844257355,0.05603550374507904,0.014888567849993706,0.12968449294567108,0.22022312879562378,0.30811214447021484,0.31714391708374023
Face,Eye To Nose Ratio,0.4792666884576144,0.4521478746053987,5.997775368486031,0.06547352279547208,0.03840831908862081,0.3268785643184007,0.35747946761413874,0.5625704502665175,0.5576007837855339
Face,Nose To Mouth Ratio,0.1894458681344986,0.21641001105308533,12.459748238325119,0.05178792402148247,0.023179933428764343,0.14927777647972107,0.14913992583751678,0.31023433804512024,0.23165346682071686
Face,Chin Length Ratio,0.547298014163971,0.5723889470100403,4.3835461139678955,0.049496378749608994,0.027443556115031242,0.50483638048172,0.4883073568344116,0.6699146032333374,0.596927285194397
Face,Eyebrow Height Ratio,0.2627970558072177,0.25537173659422757,2.9076511410456347,0.04913610239890785,0.016532595779110544,0.16741417725849417,0.23767367143200774,0.42445575284933923,0.3488874050433708
